GeoFips,GeoName,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,United States,5877248.2,6283757.5,6767179.3,7073801,7348940.8,7740749.4,8231960.2,8769066.1,9277235.6,9746593.5,10050083.4,9891218.5,10260256.2,10698857,11047363.2,11388233.3,11874450.4,12297437.8,12726848.8,13290625.5,13934441.7,14417614,14206231.3,16042964.3,17511744.6
1000,Alabama,80320.5,84866,89748.7,93232.7,97220.1,102106.6,108428.7,115631.1,121487.4,126916.4,130009.5,128265.5,132314.4,136772.4,139950.6,143956.7,148385.6,152790.5,157806.1,163523.4,169460.2,176843.5,175481.9,197820.2,215104.6
2000,Alaska,14946.5,15883.5,17107.7,18123.5,19432.2,20557.2,21847.5,23354.8,24275.1,25617,26749.3,27166.7,28537.5,29947.6,31039.1,31673.2,32641.4,33274.4,33976.4,34926.8,36077.1,36844.1,35006,39632.5,43412.8
4000,Arizona,103774.8,111890.9,121418.9,127277.9,133667.9,142860.7,155367,170011.9,184063.5,194363.4,197557.7,190868.2,196474,203580.7,209936.3,216830,226151.5,234755.7,243679.6,259029.1,273816.1,286488.5,291542.5,334350.1,368866.6
5000,Arkansas,44283.3,47305.5,50566.1,52796.3,54843.4,57788.1,61297.4,65560.6,69198.3,72561.3,75160.6,74484.9,77458.3,80992.6,83237.7,85154.6,88584.1,91366,94866.1,98052.5,102359.8,104313.8,105433.5,118796.2,128662.4
6000,California,722322,776324.7,844374.3,886833.1,924960.4,975445.5,1041764.2,1114921,1186034.5,1256410.5,1295036.3,1253678.5,1297976.1,1354341.6,1409173.4,1453927.1,1522216.3,1595724.1,1665899,1752123.2,1856117.3,1938018.7,1885028.5,2146539.4,2352361.6
8000,Colorado,96805.1,106130.8,117037.5,123305.4,126789.8,132387.1,140464.2,148825.1,158054.6,167441.9,173274.1,170721.1,175992.9,184841.9,189763.8,198951,210765.5,222464.3,233801.6,247983.2,261807.9,275707,273942.3,314541.5,346723.2
9000,Connecticut,88363.7,94452.9,100901.9,105264,109481.5,115064.8,122069.8,129412.4,136179.5,141740.4,145953.3,142958.8,146714.3,150910.1,154874.3,158507.2,164435.2,168667.3,171683.8,177076.1,183771.4,186538,184319,204252.3,219068.1
10000,Delaware,18613.7,19932.1,21313,22492.1,23667,25210.7,26974.2,28896.5,30342.5,32247.5,32991.9,32599.5,33743.9,35263.8,36028.7,36966.7,38631.3,39570.6,40564,42189.8,44457.3,45855.9,44676.8,50943.7,55535.4
11000,District of Columbia,19936.5,21239,22598.2,23350.2,24355.2,25661.4,27467.8,29000.6,30639.4,32114.9,33389.8,32788.1,34550.3,35991.9,37299,38960.6,40640.2,42193,43503.2,45283.3,47906,49573.5,46913.2,52905,57595.3
12000,Florida,358107.1,380707.7,412229.5,432668.8,447872.2,473974.7,513459.4,557056.5,601060.1,630049.5,639599.5,620446.5,643275.8,673659.9,699466.2,723026.7,763955,804074.9,835530.6,878744.1,929973.5,966780.8,964080.3,1114052.2,1234950.8
13000,Georgia,161380.3,174395,188709.6,197694,205273.8,216655.7,230229.2,247103.8,261997.1,277091.5,282133.9,275032.5,283317.5,296156.1,305937,317022.1,333433.2,346858.4,361258,380330.8,399888.2,415860.9,412232,471227.9,517334.8
15000,Hawaii,27488.8,28515.2,30345.4,31527.9,32673.8,34793.6,37263.4,40427.1,43283.7,45387.4,47392.4,46971.6,48013.4,49781.6,51522.3,53755.6,55526.2,57197.6,58616.6,61319.4,63974.4,66783.5,63900.8,71696.3,78713.6
16000,Idaho,22579.8,24178.3,26126.5,27315.3,28411.8,30199.6,32418.9,35258.5,38332.4,41044.6,41871.2,40641.4,41809.5,43554.9,44975.4,47257.8,49478.7,50824.9,53613.5,56744.1,60086.6,62636.7,64146.6,75485,84364.2
17000,Illinois,274303.2,289479.4,311531.8,322195.6,331449.3,345707.9,363646.5,384010.6,403497.1,423685.4,433710.5,424293.3,438819.8,454980.3,465517.9,476304.5,492993.4,507894.4,522413.6,539587.6,562269.9,573954.2,561359.8,627074,683721
18000,Indiana,117579.9,125011.8,133146.5,138169.8,142852.9,149620.7,159441,168731.5,175744.1,182424.5,187273.9,184465.1,190660.5,198049.2,205349.2,210037.4,217279.8,222792.9,230556.9,241847.3,252840.8,259039.6,259287,290016.5,318273.8
19000,Iowa,56464.4,59748.9,63279.6,65420.8,66996.9,70550.3,74931.1,78928.6,83083.9,86433.4,89779.9,89779.6,92935.6,97421.3,100180.8,102664.9,106618.9,108540.1,112218.4,116352.5,119934.4,122945,120916.6,135091.2,145480.9
20000,Kansas,53617.7,57333,61303.2,63683.6,65329.7,68531.2,72552.8,76553.7,81251.6,85824.2,88677.2,86817.3,89031.3,92636.2,94824.3,96405.5,99265.8,101823.5,104334.8,107464.7,111300,114331.6,113231.5,124678.4,135311.8
21000,Kentucky,73276.6,78078,83592.1,86556.6,89874.1,94238,99863.6,105818.8,111311.3,115134.1,119061.4,119046.4,123481.5,128068.7,131199.1,134476.7,138524.8,143701.2,148443,154214.4,161272,165100.4,164458.8,184891.2,199412.3
22000,Louisiana,78749.6,82772.1,87152.6,90725.7,94157.2,99582.7,105278.5,110109.7,116283,123420.1,128797.3,129088.9,134426.9,139821.9,144035.6,148333.2,153367.7,157431.6,161306.7,166452.2,172147.2,176460.2,173941.4,194871.2,207376.7
