GeoFips,GeoName,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,United States,7584003,7978449,8620234,8990104,9146700,9474684,10008929,10540800,11291446,11925044,12423410,12058253,12547501,13299818,13905749,14063283,14778160,15467113,15884741,16658962,17514402,18343601,19609985,21392812,21820248
1000,Alabama,99772.9,103204.1,108002.9,111894.1,115007.7,120241,128606.3,136087.5,144719,151942.6,157780.3,155666.9,162068.8,167882.2,172101.5,173720.7,179487.1,187474.7,190871.8,197963.8,205674.2,215165.8,230872.6,252791.9,258362.2
2000,Alaska,18155.9,18706.6,20092.2,21287.1,22331.5,23372.1,24429.2,26019.6,27696.2,29761.3,32860.7,32995.4,35374.3,37870.6,38997.1,38565.1,40642.1,41918.6,41285.5,41919.4,43522.7,44507.6,45366.3,48207.9,50349.7
4000,Arizona,117835,124922.3,135573.8,142097.8,147455.2,156408.8,170443,187724.9,207762.6,219579.1,223495.1,212283.6,216223.6,227203.3,236431.4,242030.3,253711.6,267474.1,279696.7,297261.5,315459,337214.1,374311.8,409885.7,430083.5
5000,Arkansas,55686.3,57922.1,60886.2,64168.6,65698.8,69656.4,74308.7,77990.4,82891.6,88410.7,92435.6,90992.3,94127,100449.5,107007.4,107209.3,113171.5,116632.4,119758.8,123825.4,128970.8,131439.2,142111.7,156361.5,160254.2
6000,California,953360.5,1022682.7,1127550.1,1169366.4,1187280.9,1240604.2,1315172.2,1387883.8,1493217,1561307.2,1588294.5,1539818.7,1609997.5,1713428,1814763,1840885.3,1955718,2097049.6,2191138,2295048.7,2411055.1,2537950.6,2767521.4,3013676.9,3006647.3
8000,Colorado,122577.9,131712.8,146560.8,154066.7,154492.3,157405.3,163568.5,174247.8,188197,200611.2,210065.8,200170,206053.4,223873.9,236033,247816.7,268453.1,279696,283678.7,303366.7,328112.7,351373.2,375157.8,417967.7,442213
9000,Connecticut,126666.4,133690.1,146216.9,154585.9,154452.8,156438.6,164657.4,173328.8,187213.1,201450.4,214658.2,212233.8,219801.3,226305.8,229133.1,223834.3,233084,239184.9,243698.7,249451.1,260582.2,267552.8,278373.6,292370.9,300750.7
10000,Delaware,22475.7,24116.7,26586.9,29374.8,30360.3,31071.8,32271.3,33073.3,35003.1,36211.4,36462.9,36610.7,36980.8,39760.6,40122.6,40677.8,42422.9,44626.3,45928.4,48077.1,51150.4,52740.7,55338.4,59172.3,64406.6
11000,District of Columbia,21514.7,22625.2,24827.6,25742.9,25863.4,26138.6,28379.7,29880.4,31606.5,34095.7,35167.5,35540,38212.4,41361.1,42582.3,43213.8,46124,49741.7,52190.6,54158.7,56395.7,57492.3,60178.6,65205.6,64472.8
12000,Florida,416721.5,435930.4,471588.1,497335.4,514288.8,540366.3,587003,637602.8,690506.1,719734.2,725995,685982.8,730690.1,769798.4,794071.1,794604.1,848535.3,905450.5,938985.6,1011002.2,1078010.6,1145460.8,1221121.6,1376879.5,1441598.9
13000,Georgia,205294,218718.6,236616.8,248742.5,255977.2,265622.8,280462.4,297084.9,316548.8,331363.7,335257.5,329158.9,337420.5,360456.2,369040.2,374124.6,398585.7,423242,441039.1,467592.5,491088,516552.1,552248.9,606113.6,617553
15000,Hawaii,32355.7,33425.6,35403.1,36996.8,38865.6,40734.2,43729.2,46898.1,50182.6,53022.5,55802.6,55409,56649.4,59226.4,61161.6,61983.4,65182.2,68200.8,70744.8,73646.4,75266.4,78551.8,82761.3,88948,88973.3
16000,Idaho,28498.1,30180.1,32667,34059.4,35213.9,36454.9,39386.7,41724.7,45887.7,48853.5,50157.4,48498.8,50201.9,53076.5,55719.8,57790.6,60897,64564.3,67294.1,71472.6,76529.6,83019.4,91888.5,103114,109775.9
17000,Illinois,366594.1,382605.3,411220.9,427182.4,432381.6,440480.1,457834.3,475646.2,506021.6,535102.6,551159.7,525793.9,540880.9,568230.3,593814.2,605681.6,629465,657080.2,664686.8,685632.7,722686.6,741717.2,787487.8,853520.9,851243.1
18000,Indiana,154521.8,160465.8,171032.1,175229.8,177918.8,182458,191088.3,196999,208373.7,215919.9,226602.3,220908.7,231025.6,245731.2,256284.7,259534.8,269159.1,279385.7,287275.2,297990.5,313127.2,326386.7,351106.6,387919.3,398522.6
19000,Iowa,73147.5,74998.7,80082.6,82519.7,84518.2,86330.6,93377.9,96080,101998.6,109069,116112.8,112963.4,116535.7,125499.8,131137,133435.1,137733.5,142521.2,143839.9,147911.5,154686,158118.5,167778.9,185621.7,192742.4
20000,Kansas,69711.2,71968.6,75870.8,78490.8,79285.4,81768.2,84076.9,88784,97838.9,105082.6,115298.3,111558.9,113843,123198.9,129849.7,132519,134773.9,136189.1,136753.6,141311.8,147407.4,152926.2,161704.7,172071,177474.7
21000,Kentucky,89403.1,93175,100475.1,103997.8,106551.9,109765.9,116214.1,121734.5,128584.1,134209.9,140837.7,138999.7,144335.6,151379.9,156564.9,157905.4,164862.1,172269.4,175275.6,180836.1,186931.1,195419.7,211966.8,232362.6,234281.9
22000,Louisiana,98863.5,101157.7,106907.7,114767.4,118194.3,122009.9,127386.9,137162.4,144684.4,158433,170008.6,165305.6,173007.3,178350.9,187190.7,189741.3,197729.8,198425.9,197411.9,203454.9,212320.8,219278,233715,252319.2,250170.6
23000,Maine,31264.4,32675.4,35091.4,37055,38290.7,40162.9,42164.5,43103.5,45226,46979.3,49175.8,49337,50487,52539.8,53227.3,53240.2,54984.6,57356.5,59286.8,61740.1,64463.2,67842.2,74042.4,80825.7,83950.6
24000,Maryland,163509,173125.8,188437.2,198926.9,206707.3,215973.4,230279.2,242214,254883.1,265895.1,278708.3,277623.6,287359.4,303270.1,310420.4,309329.5,318983.1,332956.2,344195.1,356079,367831.3,380342.1,400176.1,426367.4,432933.4
25000,Massachusetts,205509.2,219633.3,244147.4,254058.1,252959.5,257918,270865.5,282138.1,303265.4,319407,333450.5,330773.4,346269.9,363076.3,376591.2,379250.4,396488.7,422547.6,438598.5,459778.7,483954.4,507712.7,541420.5,583363.1,590400.3
26000,Michigan,268711.9,282128.9,301060.4,306670.4,306427.1,313961,322698.4,329235.3,336842.6,346731.9,356356.2,339100,352074.3,372954.2,387339.2,390857.9,407267,429284.9,441557.2,454894.8,474208,489493.1,531530.2,568132,572325.1
27000,Minnesota,140269.1,147376.2,159595.4,166509,170085.2,177862.3,188674.9,193583.8,203249.5,215185.4,225533.5,216335.4,225971.6,241599.5,255427.7,257507.8,270190.2,282988,288866.6,301749,317564.8,329115.6,349887.4,381789.1,393569
28000,Mississippi,56581.1,58494.4,61604.9,65064.1,66326.2,69011.9,73054.9,77635,80835.7,86187,90602.5,89414,92714.4,96643.4,99732.8,101472.1,103442.7,104772.2,106355.5,109132.8,111917.8,116256.3,125760.5,137381.7,136330.2
29000,Missouri,140839.7,146172.5,156202.1,161531.2,165389.8,171593.2,180453.8,186770.9,197834.1,207411.3,219922,216424.5,221760.2,230858.3,240967.8,242493,250783.7,259350,267048.6,273774.2,286084.3,297349.1,320592.9,345961.2,357194.7
30000,Montana,19125.7,19496.9,20770.5,21685.2,22350.3,24015.2,26072.2,28052,30362.7,32646.8,34730.5,33926.6,35670.9,38082.7,40436.9,40786,42901.4,44583.3,45283.3,48003.3,50352,53393,58208.8,64542.1,68477
31000,Nebraska,44747,46824.4,49570.3,51911.8,52804.3,56102.2,58597.2,60598.1,63317.2,68098.6,72377.3,71459.7,75194.1,84096.1,86235.9,86022.2,91084.5,94681.7,93559.7,95823.7,100067.8,104489.9,111347.5,123080.5,126473.5
32000,Nevada,54217.2,58623.6,64312.6,68026.7,69952.7,74518.4,82524.7,92194.1,99485.1,103706,102535.9,96982.8,100750.4,104596.4,108696.1,108914.4,115514.1,125088.6,129879.1,138847,148408.1,159292.9,170269.2,192006.1,197290.9
33000,New Hampshire,36597.5,38930.2,43796.1,46179.9,46972.3,47833,50733,52464.3,56084.9,58305.5,60153.8,59381.5,61880.9,64888.9,67318.1,67121.8,69630.5,72779.6,75229,78661,82353.7,87706.3,93582,100196.8,103121.9
34000,New Jersey,286580.2,299723.8,329591.8,341308.9,345988.7,354097.7,369770.9,382749.3,410264.9,435048.7,449545.4,436271.4,448931.1,469252.9,484600,488591.3,509357.6,530303.1,545301.7,566237.1,591910.4,624819.8,657894.4,705095.2,714990.2
35000,New Mexico,38233.1,38915.1,41922.3,44958.8,46821.7,49019.7,52099.7,55540.8,59713.7,63243.6,67462.4,67011.8,69499.8,73017.7,74610.8,73079.8,77266,79130.8,80782.3,82354.1,86179.5,91139.6,98783.2,108248.3,110303
36000,New York,600087.2,635242.7,683214.3,709417.6,707561.1,717555.3,749469.3,777653.2,836022.6,899609.9,920456.5,906188.3,943392.7,995231.4,1039791.6,1051798.1,1090000.8,1137082.3,1176654.7,1255776.7,1298669,1343066.3,1405028.8,1508135.1,1483802.3
37000,North Carolina,198232,207943,221516.2,228090.9,231930.9,241805.1,261603.4,280391.8,304872.7,327886.5,351637.5,339441.5,343104.3,355001.6,377867.2,373140.6,393886.1,414760.4,429054.9,449817.7,473093.3,501587.2,541078,599133.5,621705.6
38000,North Dakota,15078.7,15257.9,16591.1,16930.7,17356.1,18949.5,19330.9,20501.4,21508.5,23828.8,26942.6,26722.1,29758.8,33588,39538.6,39538.7,42181.3,40408.2,39232,39743.7,42565.9,43968.2,47621.4,51261.7,54828.5
39000,Ohio,298491.4,307407,323812.5,333209.3,338462.5,348428.7,361753,371633.8,390090,406786.5,422085.7,410350.4,422204.4,449923.8,466162.1,473218.8,492475.6,511339.8,521622.5,541289.4,562523,582400.4,623836,670872.7,679233
40000,Oklahoma,74943.6,76956.5,83332.1,88609.5,90711.6,95275.7,102917.3,112487.6,124536.5,128994.3,143654.9,133218.3,139695.1,150302,159875.4,167796.9,177635.7,172726.3,164709,171995.4,180824,189981.3,199233.2,220176.5,226308
41000,Oregon,86877.8,89931.4,96913.7,99785.7,101042.1,104729.6,110580.7,116073.4,126600.1,132605.6,138899.9,134391.8,137926.3,145345.1,152601.5,154851.2,165171.9,177478.1,186105,197262.3,210044.9,219982.7,239862.5,262382.4,264173.8
