Year,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,D.C.,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1900,,1.83,1.314,0.124,1.49,0.5429999999999999,0.91,0.185,0.53,2.22,,0.163,4.828,2.5180000000000002,2.231,1.473,2.148,1.3840000000000001,0.695,1.189,2.7880000000000003,2.423,1.754,1.5530000000000002,3.108,0.245,1.067,0.043,0.043,1.8840000000000001,1.8840000000000001,7.2829999999999995,1.8969999999999998,0.321,4.1610000000000005,0.8,0.415,6.313,0.43,1.3419999999999999,0.40299999999999997,2.023,3.055,0.278,0.27699999999999997,0.344,1.858,0.523,0.9590000000000001,2.072,0.09300000000000001
1901,,1.9069999999999998,1.341,0.131,1.55,0.581,0.9309999999999999,0.187,0.544,2.263,,0.17600000000000002,4.914,2.541,2.227,1.49,2.162,1.412,0.6990000000000001,1.2,2.7939999999999996,2.45,1.805,1.578,3.128,0.261,1.078,0.045,0.045,1.889,1.889,7.449,1.926,0.34600000000000003,4.216,0.9159999999999999,0.434,6.439,0.441,1.361,0.418,2.041,3.1319999999999997,0.285,0.284,0.34700000000000003,1.8869999999999998,0.583,0.972,2.109,0.1
1902,,1.935,1.36,0.138,1.6230000000000002,0.621,0.9520000000000001,0.188,0.565,2.305,,0.19899999999999998,4.992,2.5669999999999997,2.222,1.505,2.177,1.44,0.703,1.21,2.8560000000000003,2.477,1.8619999999999999,1.6030000000000002,3.147,0.27,1.089,0.049,0.049,1.9169999999999998,1.9169999999999998,7.612,1.956,0.371,4.322,1.0270000000000001,0.45399999999999996,6.567,0.45,1.379,0.431,2.06,3.21,0.29,0.292,0.349,1.8940000000000001,0.6509999999999999,1.0,2.141,0.105
1903,,1.9569999999999999,1.3840000000000001,0.14400000000000002,1.702,0.652,0.972,0.19,0.5870000000000001,2.346,,0.21600000000000003,5.071000000000001,2.594,2.217,1.4980000000000002,2.191,1.4669999999999999,0.7090000000000001,1.209,2.924,2.505,1.901,1.6280000000000001,3.1660000000000004,0.282,1.104,0.052000000000000005,0.052000000000000005,1.969,1.969,7.771,1.986,0.396,4.386,1.1179999999999999,0.479,6.699,0.46,1.3969999999999998,0.43700000000000006,2.082,3.2910000000000004,0.295,0.299,0.35,1.89,0.7190000000000001,1.037,2.171,0.10800000000000001
1904,,1.9780000000000002,1.419,0.151,1.7919999999999998,0.659,0.987,0.192,0.599,2.387,,0.22899999999999998,5.1610000000000005,2.614,2.2119999999999997,1.527,2.205,1.495,0.7190000000000001,1.217,2.969,2.5340000000000003,1.945,1.653,3.185,0.293,1.119,0.055999999999999994,0.055999999999999994,2.05,2.05,7.9270000000000005,2.017,0.42100000000000004,4.458,1.2,0.504,6.832999999999999,0.47100000000000003,1.415,0.452,2.086,3.3739999999999997,0.302,0.308,0.353,1.889,0.782,1.064,2.202,0.111
1905,,2.012,1.4469999999999998,0.158,1.893,0.68,1.01,0.19399999999999998,0.615,2.427,,0.24600000000000002,5.2410000000000005,2.635,2.211,1.555,2.22,1.5230000000000001,0.723,1.237,3.0180000000000002,2.5789999999999997,1.9809999999999999,1.6780000000000002,3.2039999999999997,0.305,1.129,0.059000000000000004,0.059000000000000004,2.151,2.151,8.084,2.051,0.446,4.53,1.2770000000000001,0.53,6.97,0.48100000000000004,1.433,0.461,2.1109999999999998,3.4589999999999996,0.308,0.316,0.354,1.9169999999999998,0.8420000000000001,1.094,2.231,0.114
1906,,2.045,1.465,0.16699999999999998,1.976,0.7070000000000001,1.033,0.196,0.628,2.4659999999999997,,0.262,5.309,2.6630000000000003,2.214,1.5759999999999998,2.234,1.551,0.7290000000000001,1.251,3.1069999999999998,2.6260000000000003,1.9869999999999999,1.703,3.2230000000000003,0.322,1.138,0.064,0.064,2.239,2.239,8.289,2.077,0.474,4.587,1.349,0.555,7.11,0.49200000000000005,1.4509999999999998,0.47700000000000004,2.136,3.5460000000000003,0.313,0.327,0.355,1.942,0.904,1.122,2.25,0.11800000000000001
1907,,2.0580000000000003,1.484,0.17600000000000002,2.0540000000000003,0.733,1.057,0.19699999999999998,0.645,2.505,,0.27699999999999997,5.3839999999999995,2.679,2.217,1.6119999999999999,2.249,1.579,0.731,1.2570000000000001,3.1830000000000003,2.693,1.995,1.7280000000000002,3.242,0.332,1.149,0.068,0.068,2.314,2.314,8.499,2.105,0.501,4.63,1.4140000000000001,0.58,7.252999999999999,0.505,1.4680000000000002,0.498,2.136,3.636,0.317,0.33899999999999997,0.355,1.952,0.9670000000000001,1.149,2.2680000000000002,0.125
1908,,2.07,1.5130000000000001,0.18600000000000003,2.161,0.757,1.077,0.19899999999999998,0.684,2.543,,0.29100000000000004,5.474,2.677,2.22,1.629,2.263,1.607,0.735,1.2690000000000001,3.2510000000000003,2.722,2.02,1.7530000000000001,3.26,0.34600000000000003,1.161,0.073,0.073,2.403,2.403,8.714,2.142,0.528,4.677,1.4980000000000002,0.61,7.398,0.519,1.485,0.527,2.164,3.727,0.321,0.35100000000000003,0.354,1.994,1.028,1.1740000000000002,2.292,0.133
1909,,2.108,1.545,0.196,2.282,0.775,1.097,0.201,0.7240000000000001,2.58,,0.311,5.567,2.678,2.2230000000000003,1.6580000000000001,2.278,1.6340000000000001,0.74,1.2890000000000001,3.3160000000000003,2.7710000000000004,2.051,1.777,3.279,0.363,1.177,0.078,0.078,2.487,2.487,8.935,2.174,0.555,4.7010000000000005,1.585,0.643,7.546,0.532,1.5019999999999998,0.5529999999999999,2.177,3.821,0.327,0.363,0.35600000000000004,2.0380000000000003,1.091,1.203,2.3169999999999997,0.141
